AircraftID,FirstCreated,LastModified,ModeS,ModeSCountry,Country,Registration,CurrentRegDate,PreviousID,FirstRegDate,Status,DeRegDate,Manufacturer,ICAOTypeCode,Type,SerialNo,PopularName,GenericName,AircraftClass,Engines,OwnershipStatus,RegisteredOwners,MTOW,TotalHours,YearBuilt,CofACategory,CofAExpiry,UserNotes,Interested,UserTag,InfoURL,PictureURL1,PictureURL2,PictureURL3,UserBool1,UserBool2,UserBool3,UserBool4,UserBool5,UserString1,UserString2,UserString3,UserString4,UserString5,UserInt1,UserInt2,UserInt3,UserInt4,UserInt5,OperatorFlagCode
862209,"2023-12-11 23:08:47","2023-12-11 23:08:47",A97D9E,"United States","United States",N710SA,,,,,,"Israel Aircraft Industries",WW24,"Israel Aircraft Industries 1124 Westwind",296,,,,,,"Soleil Air Inc",,,1980,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-WW24
862191,"2023-12-11 22:55:26","2023-12-11 22:55:26",4CA617,Ireland,Ireland,EI-FJN,,,,,,Boeing,B738,"Boeing 737NG 8JP/W",41152,,,,,,"Norwegian Air International",,,2016,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,IBK
511438,"2023-05-26 19:25:07","2023-12-11 22:37:49",39A206,France,France,F-HIQG,,,,,,Boeing,B738,"Boeing 737-86N(BCF)",30806,,,,,,"ASL Airlines France",,,2001,,,,0,reset,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,FPO
862126,"2023-12-11 22:07:27","2023-12-11 22:07:27",AC8C2A,"United States","United States",HL1139,,,,,,Cessna,C206,"Cessna T206H Turbo Stationair",T20608992,,,,,,Private,,,2010,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C206
862114,"2023-12-11 22:02:21","2023-12-11 22:02:21",A2D5D0,"United States","United States",N282EC,,,,,,"Gulfstream Aerospace",G280,"Gulfstream Aerospace G280",2013,,,,,,"Millbrook Air",,,2012,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-G280
862094,"2023-12-11 21:50:24","2023-12-11 21:50:24",A57920,"United States","United States",N4517,,,,,,Pietenpol,CAMP,"Pietenpol Aircamper",CM1,,,,,,Private,,,1968,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-CAMP
862092,"2023-12-11 21:49:33","2023-12-11 21:49:33",49D1C0,"Czech Republic","Czech Republic",OK-VRG,,,,,,Enstrom,EN48,"Enstrom 480 B",5230,,,,,,Private,,,2019,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-EN48
482904,"2023-11-20 20:09:18","2023-12-11 21:49:19",3C1BAC,Germany,Germany,D-AZML,,,,,,Airbus,A306,"Airbus A300B4-622R(F)",770,,,,,,DHL,,,1996,,,"20/11/2023 20:09",0,,,,,,0,0,0,0,0,,,,,,1,0,0,0,0,BCS-A306D-AZML
862087,"2023-12-11 21:45:29","2023-12-11 21:45:29",A02FB6,"United States","United States",N1108U,,,,,,Hughes,H500,"Hughes 369 D",100-0817D,,,,,,Private,,,1980,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-H500
13297,"2021-12-16 07:38:54","2023-12-11 21:16:14",4520AA,Bulgaria,Bulgaria,LZ-FBG,,,,,,Airbus,A320,"Airbus A320 214SL",6012,,,,,,Condor,,,2013,,,"leased from Bulgaria Air - 2 Apr 2022",0,reset,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,CFG-A320LZ-FBG
862005,"2023-12-11 20:51:25","2023-12-11 20:51:25",C05397,Canada,Canada,C-GFRA,,,,,,Lake,LA4,"Lake Buccaneer LA-4-200",799,,,,,,Private,,,1976,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-LA4
861970,"2023-12-11 20:31:39","2023-12-11 20:31:39",A697B6,"United States","United States",N5239R,,,,,,Cessna,C172,"Cessna 172M Skyhawk",17263453,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C172
861950,"2023-12-11 20:24:10","2023-12-11 20:24:10",ABC78A,"United States","United States",N85809,,,,,,Aeronca,AR11,"Aeronca Chief 11AC",11AC-227,,,,,,Private,,,1946,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-AR11
509766,"2023-05-23 01:48:05","2023-12-11 19:25:25",344043,Spain,Spain,,,,,,,,ZANT,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,Missing,,,,,0,0,0,0,0,ZANT
861847,"2023-12-11 19:20:03","2023-12-11 19:20:03",398133,France,France,F-HAJT,,,,,,Robinson,R22,"Robinson R22 Beta II",4154,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-R22
861829,"2023-12-11 19:05:34","2023-12-11 19:05:34",4CA903,Ireland,Ireland,EI-ITA,,,,,,Airbus,A21N,"Airbus A321 251NSL",8312,,,,,,"Bamboo Airways",,,2018,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,BAV
861811,"2023-12-11 18:53:48","2023-12-11 18:53:48",A8BB54,"United States","United States",N6617Y,,,,,,Piper,PA27,"Piper PA-23 Aztec 250C",27-3923,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-PA27
26622,"2022-05-03 02:22:35","2023-12-11 18:52:12",4864B4,Netherlands,Netherlands,,,,,,,,RDTST,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,Missing,,,,,0,0,0,0,0,TEST
861691,"2023-12-11 17:02:14","2023-12-11 17:02:14",A5E65D,"United States","United States",N48BD,,,,,,Vans,RV4,"Vans RV-4",842,,,,,,Private,,,1989,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-RV4
861645,"2023-12-11 16:25:21","2023-12-11 16:25:21",406A94,"United Kingdom","United Kingdom",G-EZWT,,,,,,Airbus,A320,"Airbus A320 214SL",6047,,,,,,easyJet,,,2014,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,EZY
861635,"2023-12-11 16:16:55","2023-12-11 16:16:55",A2D42F,"United States","United States",N2811B,,,,,,"Raytheon Aircraft Company",TEX2,"Raytheon Aircraft Company T-6C Texan T.1",PM-144,,,,,,"Royal Air Force",,,,,,,0,,,,,,1,0,0,0,0,,,,,,0,0,0,0,0,
861605,"2023-12-11 15:54:27","2023-12-11 15:54:27",39D405,France,France,F-HVAF,,,,,,Robinson,R44,"Robinson R44 Raven II",12035,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-R44
861597,"2023-12-11 15:43:45","2023-12-11 15:43:45",A3038C,"United States","United States",N2934J,,,,,,Cessna,C150,"Cessna 150G",15065734,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C150
861578,"2023-12-11 15:28:45","2023-12-11 15:28:45",C03CF0,Canada,Canada,C-FXBZ,,,,,,Bell,B407,"Bell 407 GX",54707,,,,,,"Bell Helicopter Textron Canada",,,2017,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-B407
861500,"2023-12-11 14:29:21","2023-12-11 14:29:21",ABE28F,"United States","United States",N865MT,,,,,,Cessna,C25M,"Cessna Citation M2",525-0865,,,,,,"Textron Aviation Inc",,,2015,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C25M
861501,"2023-12-11 14:29:21","2023-12-11 14:29:21",C0433D,Canada,Canada,CF-ZMA,,,,,,Smith,DSA1,"Smith Miniplane DSA-1 Sailplane",1,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-DSA1
861498,"2023-12-11 14:27:47","2023-12-11 14:27:47",A9327D,"United States","United States",N692DP,,,,,,Piper,PA27,"Piper PA-23 Aztec 250D",27-4288,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-PA27
861452,"2023-12-11 13:46:12","2023-12-11 13:46:12",484AB3,Netherlands,Netherlands,PH-CCD,,,,,,"Diamond Aircraft",DA42,"Diamond Aircraft Twin Star DA42",42.332,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-DA42
861336,"2023-12-11 12:12:35","2023-12-11 12:12:35",A8D16C,"United States","United States",N6676H,,,,,,Piper,J3,"Piper J-3 C-65 Cub",19881,,,,,,Private,,,1946,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-J3
861327,"2023-12-11 12:06:41","2023-12-11 12:06:41",4078BA,"United Kingdom","United Kingdom",G-LBRT,,,,,,Beech,BE17,"Beech Staggerwing D17S",4893,,,,,,Private,,,1943,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-BE17
861315,"2023-12-11 12:01:35","2023-12-11 12:01:35",4009DC,"United Kingdom","United Kingdom",G-CBUB,,,,,,Bell,B412,"Bell Griffin HT.1",36297,,,,,,"FB Leasing Ltd",,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-B412
861296,"2023-12-11 11:49:37","2023-12-11 11:49:37",A41A59,"United States","United States",N3634D,,,,,,Cessna,C310,"Cessna 310",35334,,,,,,Private,,,1956,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C310
