AircraftID,FirstCreated,LastModified,ModeS,ModeSCountry,Country,Registration,CurrentRegDate,PreviousID,FirstRegDate,Status,DeRegDate,Manufacturer,ICAOTypeCode,Type,SerialNo,PopularName,GenericName,AircraftClass,Engines,OwnershipStatus,RegisteredOwners,MTOW,TotalHours,YearBuilt,CofACategory,CofAExpiry,UserNotes,Interested,UserTag,InfoURL,PictureURL1,PictureURL2,PictureURL3,UserBool1,UserBool2,UserBool3,UserBool4,UserBool5,UserString1,UserString2,UserString3,UserString4,UserString5,UserInt1,UserInt2,UserInt3,UserInt4,UserInt5,OperatorFlagCode
864420,"2023-12-12 23:47:58","2023-12-12 23:47:58",780221,"China Hong Kong","China Hong Kong",B-KPJ,,,,,,Boeing,B77W,"Boeing 777 367ER",36157,,,,,,"Cathay Pacific Airways",,,2008,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,CPA
864358,"2023-12-12 23:07:32","2023-12-12 23:07:32",A73FA7,"United States","United States",N56602,,,,,,Piper,PA34,"Piper PA-34 200 Seneca",34-7450003,,,,,,Private,,,1973,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-PA34
864326,"2023-12-12 22:46:22","2023-12-12 22:46:22",A0BA43,"United States","United States",N146PD,,,,,,Robinson,R44,"Robinson R44 Raven II",10739,,,,,,Private,,,2005,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-R44
864225,"2023-12-12 21:41:14","2023-12-12 21:41:14",A3E11D,"United States","United States",N3490H,,,,,,ERCO,ERCO,"Ercoupe 415-C",4115,,,,,,Private,,,1946,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-ERCO
27212,"2022-05-18 03:27:49","2023-12-12 21:35:50",48425C,Netherlands,Netherlands,,,,,,,,-GND,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,Missing,,,,,0,0,0,0,0,GEN--GND
864183,"2023-12-12 21:17:18","2023-12-12 21:17:18",A40EA5,"United States","United States",N3600A,,,,,,Beech,BE36,"Beech Bonanza A36",E-1328,,,,,,Private,,,1978,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-BE36
864153,"2023-12-12 20:58:34","2023-12-12 20:58:34",A32734,"United States","United States",N302ER,,,,,,Eipper,ULAC,"Eipper Quicksilver MX-II Sprint",0511,,,,,,Private,,,1996,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-ULAC
562676,"2023-11-20 16:22:37","2023-12-12 20:36:40",A66471,"United States","United States",N51045,,,,O,,Lockheed,C30J,"Lockheed C-130J Hercules","",,,,,,"Lockheed Martin Test Flight",,,,,,"11/20/2023 5:01:56 PM",0,,,,,,1,0,0,0,0,,,,M,P,0,0,50000,0,0,
795325,"2023-11-10 15:57:59","2023-12-12 20:29:17",E40101,Brazil,Brazil,FAB1308,,,,,,Embraer,TUCA,"Embraer T-27 Tucano",,,,,,,"Brazilian Air Force",,,,,,,0,,,,,,1,0,0,0,0,,,,,,0,0,0,0,0,BRS-TUCA
863487,"2023-12-12 14:11:51","2023-12-12 20:27:52",3F9334,Germany,Germany,????,,,,,,Eurofighter,EUFI,"Eurofighter Typhoon EF2000",,,,,,,"German Air Force",,,,,,,0,,,,,,1,0,0,0,0,,,,,,0,0,0,0,0,GAF-EUFI
863735,"2023-12-12 16:42:23","2023-12-12 20:27:03",498468,"Czech Republic","Czech Republic",6051,,,,,,"Aero Vodochody",L159,"Aero Vodochody L-159A",,,,,,,"Czech Air Force",,,,,,,0,,,,,,1,0,0,0,0,,,,,,0,0,0,0,0,CEF-L159
863642,"2023-12-12 15:42:30","2023-12-12 20:24:38",3AAB42,France,France,3868,,,,,,"Aérospatiale",GAZL,"Aérospatiale SA-342M Gazelle",,,,,,,"French Army",,,,,,,0,,,,,,1,0,0,0,0,,,,,,0,0,0,0,0,FMY-GAZL
864076,"2023-12-12 20:13:43","2023-12-12 20:13:43",ABF94B,"United States","United States",N8704S,,,,,,Cessna,C150,"Cessna 150F",15062004,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C150
864072,"2023-12-12 20:12:35","2023-12-12 20:12:35",4242BD,Bermuda,Bermuda,VP-BLR,,,,,,Airbus,A320,"Airbus A320 214SL",5585,,,,,,Aeroflot,,,2013,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,AFL
864055,"2023-12-12 19:59:45","2023-12-12 19:59:45",A8149F,"United States","United States",N62HM,,,,,,Dassault,FA50,"Dassault Falcon 50",243,,,,,,"Wilmington Aero Ventures Inc",,,1994,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-FA50
26622,"2022-05-03 02:22:35","2023-12-12 18:52:17",4864B4,Netherlands,Netherlands,,,,,,,,RDTST,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,Missing,,,,,0,0,0,0,0,TEST
863858,"2023-12-12 18:00:22","2023-12-12 18:00:22",AB1932,"United States","United States",PR-OMQ,,,,,,Sikorsky,S76,"Sikorsky S-76 C++",760814,,,,,,Private,,,2011,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-S76
863850,"2023-12-12 17:55:17","2023-12-12 17:55:17",A35E15,"United States","United States",N316L,,,,,,Aeropro,ZZZZ,"Aeropro A240",37112,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-ZZZZ
