AircraftID,FirstCreated,LastModified,ModeS,ModeSCountry,Country,Registration,CurrentRegDate,PreviousID,FirstRegDate,Status,DeRegDate,Manufacturer,ICAOTypeCode,Type,SerialNo,PopularName,GenericName,AircraftClass,Engines,OwnershipStatus,RegisteredOwners,MTOW,TotalHours,YearBuilt,CofACategory,CofAExpiry,UserNotes,Interested,UserTag,InfoURL,PictureURL1,PictureURL2,PictureURL3,UserBool1,UserBool2,UserBool3,UserBool4,UserBool5,UserString1,UserString2,UserString3,UserString4,UserString5,UserInt1,UserInt2,UserInt3,UserInt4,UserInt5,OperatorFlagCode
866468,"2023-12-13 22:41:28","2023-12-13 22:41:28",4CA8A9,Ireland,Ireland,EI-FTG,,,,,,Boeing,B738,"Boeing 737NG 800/W",44757,,,,,,Ryanair,,,2016,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,RYR
866415,"2023-12-13 22:03:04","2023-12-13 22:03:04",A59180,"United States","United States",PR-FVP,,,,,,"Raytheon Aircraft Company",BE20,"Raytheon Aircraft Company King Air B200",BB-1969,,,,,,"Sales Taxi Aereo Ltda",,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-BE20
866373,"2023-12-13 21:40:11","2023-12-13 21:40:11",C07AC7,Canada,Canada,C-GUMW,,,,,,Canadair,CL2P,"Canadair CL-215 -III",1065,,,,,,"Province of Manitoba",,,1978,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-CL2P
866344,"2023-12-13 21:17:46","2023-12-13 21:17:46",A1B377,"United States","United States",N209AE,,,,,,Bolkow,B209,"Bolkow Bo.209 Monsun",141,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-B209
866331,"2023-12-13 21:09:54","2023-12-13 21:09:54",A15AE0,"United States","United States",N187CA,,,,,,Gates,LJ25,"Gates Learjet 25 B",25B-187,,,,,,"Marbo LLC",,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-LJ25
866324,"2023-12-13 21:06:12","2023-12-13 21:06:12",4B2EC3,Switzerland,Switzerland,HB-RSL,,,,,,"Max Holste",BROU,"Max Holste Broussard MH 1521M",32,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-BROU
866254,"2023-12-13 20:15:16","2023-12-13 20:15:16",504E4F,Moldova,Moldova,ER-BAR,,,,,,Boeing,B742,"Boeing 747 243F",22545,,,,,,"Oscar Jet",,,1981,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-B742
866244,"2023-12-13 20:13:11","2023-12-13 20:13:11",A5DD0C,"United States","United States",N477VX,,,,,,Boeing,B734,"Boeing 737 46QSF",28661,,,,,,"Estafeta Carga Aerea",,,1997,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,ESF
866202,"2023-12-13 19:44:35","2023-12-13 19:44:35",C00B96,Canada,Canada,C-FEKB,,,,,,Beech,BE20,"Beech King Air B200",BB-468,,,,,,"Kenn Borek Air",,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,KBA
866201,"2023-12-13 19:44:29","2023-12-13 19:44:29",4072E2,"United Kingdom","United Kingdom",G-STMA,,,,,,Piper,P28T,"Piper PA-28R T-201T Turbo Arrow IV",28R-8231059,,,,,,Private,,,1982,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-P28T
866166,"2023-12-13 19:15:44","2023-12-13 19:15:44",C07506,Canada,Canada,C-GSIF,,,,,,Pereira,GP3,"Pereira Osprey 2","LJCT 1",,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-GP3
