AircraftID,FirstCreated,LastModified,ModeS,ModeSCountry,Country,Registration,CurrentRegDate,PreviousID,FirstRegDate,Status,DeRegDate,Manufacturer,ICAOTypeCode,Type,SerialNo,PopularName,GenericName,AircraftClass,Engines,OwnershipStatus,RegisteredOwners,MTOW,TotalHours,YearBuilt,CofACategory,CofAExpiry,UserNotes,Interested,UserTag,InfoURL,PictureURL1,PictureURL2,PictureURL3,UserBool1,UserBool2,UserBool3,UserBool4,UserBool5,UserString1,UserString2,UserString3,UserString4,UserString5,UserInt1,UserInt2,UserInt3,UserInt4,UserInt5,OperatorFlagCode
868618,"2023-12-14 23:38:05","2023-12-14 23:38:05",AA2BD0,"United States","United States",N7544G,,,,,,Cessna,C150,"Cessna 150L",15074697,,,,,,Private,,,1973,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C150
868546,"2023-12-14 22:53:59","2023-12-14 22:53:59",A3B898,"United States","United States",N339PW,,,,,,"Just Aircraft",HIGH,"Just Aircraft Super STOL",JA271-08-12,,,,,,Private,,,2013,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-HIGH
868535,"2023-12-14 22:46:39","2023-12-14 22:46:39",4AA694,Sweden,Sweden,SE-ITT,,,,,,Piper,PA31,"Piper PA-31 Navajo C",31-8112065,,,,,,"Lund University School of Aviation",,,1981,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,UNY
868505,"2023-12-14 22:24:52","2023-12-14 22:24:52",A1DD5C,"United States","United States",N2190U,,,,,,Brantly,BRB2,"Brantly B-2 B",401,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-BRB2
868503,"2023-12-14 22:22:47","2023-12-14 22:22:47",A501E3,"United States","United States",N4211T,,,,,,"Textron Aviation",C25M,"Textron Aviation Citation M2",525-1039,,,,,,"Textron Aviation Inc",,,2019,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C25M
868396,"2023-12-14 21:13:48","2023-12-14 21:13:48",A4AF42,"United States","United States",N4002C,,,,,,Stinson,S108,"Stinson Voyager 108-3",108-5002,,,,,,Private,,,1950,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-S108
868376,"2023-12-14 21:06:21","2023-12-14 21:06:21",40192D,"United Kingdom","United Kingdom",G-AZDY,,,,,,"De Havilland",DH82,"De Havilland Tiger Moth DH.82A",86559,,,,,,Private,,,1944,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-DH82
868345,"2023-12-14 20:43:07","2023-12-14 20:43:07",A88931,"United States","United States",N6491M,,,,,,Stinson,S108,"Stinson Voyager 108-3",108-4491,,,,,,Private,,,1948,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-S108
868285,"2023-12-14 20:09:03","2023-12-14 20:09:03",A20896,"United States","United States",PP-MRF,,,,,,Bell,B230,"Bell 230",23003,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-B230
868270,"2023-12-14 19:57:41","2023-12-14 19:57:41",0C6031,"Trinidad and Tobago","Trinidad and Tobago",9Y-JMC,,,,,,Boeing,B738,"Boeing 737NG 8Q8/W",28252,,,,,,"Caribbean Airlines",,,2002,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,BWA
868197,"2023-12-14 19:13:36","2023-12-14 19:13:36",AB5AC6,"United States","United States",N8300V,,,,,,Beech,BE36,"Beech Bonanza A36",E-2767,,,,,,Private,,,1992,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-BE36
26622,"2022-05-03 02:22:35","2023-12-14 18:54:01",4864B4,Netherlands,Netherlands,,,,,,,,RDTST,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,Missing,,,,,0,0,0,0,0,TEST
868170,"2023-12-14 18:48:05","2023-12-14 18:48:05",A1EFB1,"United States","United States",N22382,,,,,,Piper,PA34,"Piper PA-34 200T Seneca II",34-7870459,,,,,,Private,,,1978,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-PA34
868108,"2023-12-14 18:00:02","2023-12-14 18:00:02",4B1670,Switzerland,Switzerland,HB-IMY,,,,,,"Gulfstream Aerospace",GLF4,"Gulfstream Aerospace GIV",1084,,,,,,"Sit Set AG",,,1988,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-GLF4
868103,"2023-12-14 17:56:46","2023-12-14 17:56:46",4D214D,Malta,Malta,9H-ZRH,,,,,,Cessna,C25A,"Cessna Citation CJ2+",525A0340,,,,,,"Helispirit SA",,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C25A
868096,"2023-12-14 17:49:30","2023-12-14 17:49:30",AB8B18,"United States","United States",N843BA,,,,,,"ICON Aircraft",A5,"ICON Aircraft A5",00120,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-A5
