AircraftID,FirstCreated,LastModified,ModeS,ModeSCountry,Country,Registration,CurrentRegDate,PreviousID,FirstRegDate,Status,DeRegDate,Manufacturer,ICAOTypeCode,Type,SerialNo,PopularName,GenericName,AircraftClass,Engines,OwnershipStatus,RegisteredOwners,MTOW,TotalHours,YearBuilt,CofACategory,CofAExpiry,UserNotes,Interested,UserTag,InfoURL,PictureURL1,PictureURL2,PictureURL3,UserBool1,UserBool2,UserBool3,UserBool4,UserBool5,UserString1,UserString2,UserString3,UserString4,UserString5,UserInt1,UserInt2,UserInt3,UserInt4,UserInt5,OperatorFlagCode
870775,"2023-12-15 23:00:32","2023-12-15 23:00:32",750298,Malaysia,Malaysia,9M-FIH,,,,,,"Avions de Transport Regional",AT76,"Avions de Transport Regional ATR 72 600",1285,,,,,,Firefly,,,2015,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,FFM
870749,"2023-12-15 22:46:51","2023-12-15 22:46:51",AAF377,"United States","United States",N80427,,,,,,Piper,P28A,"Piper PA-28 181 Archer III",2881171,,,,,,Private,,,2019,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-P28A
870713,"2023-12-15 22:17:24","2023-12-15 22:17:24",AAEBBC,"United States","United States",N80200,,,,,,"Air Tractor",AT8T,"Air Tractor AT-802A",802A-0669,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-AT8T
870645,"2023-12-15 21:38:22","2023-12-15 21:38:22",AD5155,"United States","United States",N9572Q,,,,,,Beech,BE95,"Beech Travel Air D95A",TD-661,,,,,,Private,,,1966,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-BE95
870595,"2023-12-15 21:08:34","2023-12-15 21:08:34",A05DA2,"United States","United States",N1221G,,,,,,"Israel Aircraft Industries",GALX,"Israel Aircraft Industries 1126 Galaxy",045,,,,,,"Goff Capital Management LLC",,,2001,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-GALX
870577,"2023-12-15 20:58:48","2023-12-15 20:58:48",402FE8,"United Kingdom","United Kingdom",G-BRLO,,,,,,Piper,PA38,"Piper PA-38 112 Tomahawk",38-78A0621,,,,,,Private,,,1978,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-PA38
870477,"2023-12-15 19:58:52","2023-12-15 19:58:52",AD8B68,"United States","United States",N972DK,,,,,,Vans,RV8,"Vans RV-8 A",82258,,,,,,Private,,,2007,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-RV8
870471,"2023-12-15 19:55:34","2023-12-15 19:55:34",06A030,Qatar,Qatar,A7-ACF,,,,,,Airbus,A332,"Airbus A330 202",638,,,,,,"Qatar Airways",,,2004,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,QTR
870428,"2023-12-15 19:29:54","2023-12-15 19:29:54",A7F227,"United States","United States",N61073,,,,,,Taylorcraft,TAYD,"Taylorcraft DC-65 Tandem Trainer",6158,,,,,,Private,,,1942,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-TAYD
26622,"2022-05-03 02:22:35","2023-12-15 18:54:53",4864B4,Netherlands,Netherlands,,,,,,,,RDTST,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,Missing,,,,,0,0,0,0,0,TEST
